"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,6
8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,6
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5
7.4,0.29,0.48,12.8,0.037,61.5,182,0.99808,3.02,0.34,8.8,5
6,0.34,0.24,5.4,0.06,23,126,0.9951,3.25,0.44,9,7
6.6,0.23,0.26,1.3,0.045,16,128,0.9934,3.36,0.6,10,6
6.5,0.43,0.18,13.15,0.032,25,131,0.99565,3.23,0.51,10.7,5
7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,7
7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6
6.1,0.17,0.28,2.5,0.028,22,98,0.99072,3.16,0.37,11.1,7
5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,10.9,7
5.9,0.14,0.25,4.5,0.027,34,140,0.9934,3.49,0.51,10.8,6
6.7,0.5,0.38,7.5,0.046,26,175,0.99662,3.32,0.54,9.6,5
5.8,0.19,0.49,4.9,0.04,44,118,0.9935,3.34,0.38,9.5,7
7.8,0.28,0.25,3.4,0.024,27,99,0.98959,2.98,0.37,13,6
5.7,0.21,0.32,0.9,0.038,38,121,0.99074,3.24,0.46,10.6,6
6.5,0.23,0.38,1.3,0.032,29,112,0.99298,3.29,0.54,9.7,5
7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3,5
6.1,0.38,0.42,5,0.016,31,113,0.99007,3.15,0.31,12.4,7
6.2,0.27,0.18,1.5,0.028,20,111,0.99228,3.41,0.5,10,5
6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4,5
6.6,0.27,0.32,1.3,0.044,18,93,0.99044,3.11,0.56,12.25,5
5.4,0.15,0.32,2.5,0.037,10,51,0.98878,3.04,0.58,12.6,6
6,0.36,0.39,3.2,0.027,20,125,0.991,3.38,0.39,11.3,7
7.1,0.14,0.35,1.4,0.039,24,128,0.99212,2.97,0.68,10.4,5
6.4,0.5,0.16,12.9,0.042,26,138,0.9974,3.28,0.33,9,5
8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,5
6.3,0.24,0.29,13.7,0.035,53,134,0.99567,3.17,0.38,10.6,6
6.1,0.125,0.25,3.3,0.04,10,69,0.9934,3.54,0.59,10.1,6
6.9,0.28,0.4,8.2,0.036,15,95,0.9944,3.17,0.33,10.2,5
6.1,0.3,0.32,2.2,0.042,41,142,0.98952,3.31,0.44,12.7,7
6.2,0.24,0.29,13.3,0.039,49,130,0.9952,3.33,0.46,11,8
8.2,0.29,0.33,9.1,0.036,28,118,0.9953,2.96,0.4,10.9,7
8.4,0.3,0.25,17.75,0.047,25,218,1.00016,2.98,0.66,9.1,5
5.2,0.3,0.34,1.5,0.038,18,96,0.98942,3.56,0.48,13,8
8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,6
6.8,0.45,0.3,11.8,0.094,23,97,0.997,3.09,0.44,9.6,5
6.4,0.33,0.28,1.1,0.038,30,110,0.9917,3.12,0.42,10.5,6
6.1,0.22,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4,6
6.4,0.24,0.22,1.5,0.038,38,157,0.9934,3.41,0.55,9.9,6
6.9,0.23,0.33,12.8,0.056,44,169,0.998,3.42,0.42,9.8,6
7,0.22,0.31,2.7,0.03,41,136,0.9898,3.16,0.37,12.7,7
7.6,0.21,0.49,2.5,0.047,20,130,0.99178,3.15,0.48,11.1,5
6.3,0.32,0.32,1.5,0.03,24,101,0.98923,3.21,0.42,13,5
6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,5
8.3,0.25,0.33,2.5,0.053,12,72,0.99404,2.89,0.48,9.5,5
7.4,0.21,0.3,7.9,0.039,14,118,0.9942,2.96,0.34,10.4,5
7,0.34,0.26,10.3,0.041,51,166,0.99382,3.08,0.35,11.6,6
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5
6.3,0.27,0.46,11.1,0.053,44,177,0.99691,3.18,0.67,9.4,5
6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,6
6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7,7
6.1,0.27,0.3,16.7,0.039,49,172,0.99985,3.4,0.45,9.4,5
7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9,5
7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6
5.9,0.3,0.3,2,0.03,38,142,0.98892,3.41,0.41,12.9,7
5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,6
7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,5
7,0.22,0.26,1.1,0.037,20,71,0.9902,3.1,0.38,11.7,6
8.8,0.24,0.23,10.3,0.032,12,97,0.99571,3.13,0.4,10.7,6
6.9,0.3,0.33,4.1,0.035,26,155,0.9925,3.25,0.79,12.3,8
8.2,0.37,0.64,13.9,0.043,22,171,0.99873,2.99,0.8,9.3,5
8.5,0.21,0.41,4.3,0.036,24,99,0.9947,3.18,0.53,9.7,6
6.5,0.22,0.34,12,0.053,55,177,0.9983,3.52,0.44,9.9,6
5.8,0.385,0.25,3.7,0.031,38,122,0.99128,3.2,0.63,11.2,6
7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7
6,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5
6.5,0.29,0.53,1.7,0.04,41,192,0.9922,3.26,0.59,10.4,7
6.2,0.27,0.47,1.2,0.146,28,105,0.99224,3.23,0.51,10.1,5
6.9,0.32,0.27,16,0.034,58,185,0.99938,3.34,0.6,9,6
7.5,0.29,0.26,14.95,0.067,47,178,0.99838,3.04,0.49,9.2,4
6.8,0.18,0.28,8.7,0.047,52,242,0.9952,3.22,0.53,10.5,6
6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,7
6.3,0.4,0.32,10.6,0.049,38,209,0.9981,3.47,0.59,9.3,6
7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6
6,0.27,0.26,1.3,0.038,32,138,0.99125,3.46,0.43,11.1,6
5.8,0.31,0.31,7.5,0.052,55,230,0.9949,3.19,0.46,9.8,5
7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,5
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7
7.3,0.42,0.38,6.8,0.045,29,122,0.9925,3.19,0.37,12.6,7
7.5,0.38,0.29,4.9,0.021,38,113,0.99026,3.08,0.48,13,7
6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,6
7.6,0.51,0.24,1.2,0.04,10,104,0.992,3.05,0.29,10.8,6
7.5,0.42,0.2,1.4,0.06,15,168,0.9944,3.06,0.4,9.4,6
6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5
4.7,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5,5
6.9,0.37,0.28,13.8,0.031,34,137,0.9948,3.1,0.37,11.6,6
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
7.5,0.28,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3,8
5.8,0.32,0.2,2.6,0.027,17,123,0.98936,3.36,0.78,13.9,7
7,0.15,0.29,16.4,0.058,45,110,0.9978,3.15,0.37,9.7,6
7.7,0.26,0.32,1.2,0.04,26,117,0.993,3.21,0.56,10.8,5
5.5,0.16,0.22,4.5,0.03,30,102,0.9938,3.24,0.36,9.4,6
7.3,0.2,0.39,2.3,0.048,24,87,0.99044,2.94,0.35,12,6
5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,4
7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6
6.5,0.28,0.26,8.8,0.04,44,139,0.9956,3.32,0.37,10.2,6
6.5,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,6
6.7,0.21,0.34,1.4,0.049,36,112,0.99091,3.02,0.5,11,6
6.7,0.28,0.28,4.5,0.051,14,92,0.99224,3.36,0.58,11.9,6
6.6,0.26,0.46,7.8,0.047,48,186,0.9958,3.2,0.54,9.1,5
6.4,0.25,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8,5
6.9,0.24,0.36,20.8,0.031,40,139,0.9975,3.2,0.33,11,6
5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,8
6.6,0.31,0.07,1.5,0.033,55,144,0.99208,3.16,0.42,10,5
5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,5
6.2,0.2,0.32,2.8,0.05,17,126,0.9936,3.18,0.55,9.4,6
6.2,0.16,0.47,1.4,0.029,23,81,0.99,3.26,0.42,12.2,6
5.7,0.26,0.3,1.8,0.039,30,105,0.98995,3.48,0.52,12.5,7
7.9,0.46,0.32,4.1,0.033,40,138,0.9912,3.18,0.44,12.8,7
6.9,0.14,0.29,9.9,0.056,30,91,0.99512,3.19,0.33,9.9,6
7.5,0.17,0.71,11.8,0.038,52,148,0.99801,3.03,0.46,8.9,5
7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5
6.8,0.23,0.32,1.6,0.026,43,147,0.9904,3.29,0.54,12.5,6
6.4,0.27,0.29,10.8,0.028,17,118,0.99356,3.18,0.37,11.2,6
6.2,0.15,0.27,11,0.035,46,116,0.99602,3.12,0.38,9.1,6
6.6,0.22,0.3,14.7,0.045,50,136,0.99704,3.14,0.37,10.6,6
8.3,0.4,0.38,1.1,0.038,15,75,0.9934,3.03,0.43,9.2,5
5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,7
8,0.3,0.28,5.7,0.044,31,124,0.9948,3.16,0.51,10.2,6
6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8,5
6.4,0.4,0.25,4.2,0.032,15,91,0.98988,3.26,0.52,13.1,6
7.7,0.39,0.3,5.2,0.037,29,131,0.9943,3.38,0.44,11,6
6.5,0.19,0.26,5.2,0.04,31,140,0.995,3.26,0.68,9.5,6
5.6,0.18,0.3,10.2,0.028,28,131,0.9954,3.49,0.42,10.8,7
6.1,0.28,0.32,2.5,0.042,23,218.5,0.9935,3.27,0.6,9.8,5
7.1,0.26,0.37,5.5,0.025,31,105,0.99082,3.06,0.33,12.6,8
8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,4
6.4,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,6
7.9,0.25,0.29,5.3,0.031,33,117,0.9918,3.06,0.32,11.8,7
6.7,0.24,0.3,10.2,0.07,44,179,0.99666,2.86,0.46,8.9,6
8.8,0.19,0.3,5,0.028,34,120,0.99242,2.94,0.47,11.2,5
5.6,0.32,0.32,8.3,0.043,32,105,0.99266,3.24,0.47,11.2,6
6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6
5.7,0.335,0.34,1,0.04,13,174,0.992,3.27,0.66,10,5
7.9,0.11,0.49,4.5,0.048,27,133,0.9946,3.24,0.42,10.6,6
7.3,0.22,0.5,13.7,0.049,56,189,0.9994,3.24,0.66,9,6
5.8,0.27,0.22,12.7,0.058,42,206,0.9946,3.32,0.38,12.3,6
6.8,0.475,0.33,3.95,0.047,16,81,0.98988,3.23,0.53,13.4,7
6.8,0.26,0.46,8.3,0.037,49,173,0.99601,3.17,0.47,9.3,5
8.1,0.2,0.36,9.7,0.044,63,162,0.997,3.1,0.46,10,6
6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5
6.8,0.22,0.29,8.9,0.046,82,188,0.9955,3.3,0.44,10.3,6
6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,6
6.1,0.23,0.27,9.8,0.055,74,134,0.99534,3.16,0.4,10.2,6
6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7,7
6.6,0.25,0.3,1.6,0.046,32,134,0.993,3.42,0.51,10.1,7
6.6,0.19,0.41,8.9,0.046,51,169,0.9954,3.14,0.57,9.8,6
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6
6.4,0.25,0.33,1.7,0.037,35,113,0.99164,3.23,0.66,10.6,6
5.8,0.39,0.47,7.5,0.027,12,88,0.9907,3.38,0.45,14,6
8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,5
5.8,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6
5.9,0.32,0.2,14.4,0.05,29,144,0.99666,3.24,0.41,10.3,6
5.5,0.42,0.09,1.6,0.019,18,68,0.9906,3.33,0.51,11.4,7
7.9,0.44,0.26,4.45,0.033,23,100,0.99117,3.17,0.52,12.7,6
9.2,0.71,0.23,6.2,0.042,15,93,0.9948,2.89,0.34,10.1,6
8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,6
6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,6
5.6,0.33,0.28,1.2,0.031,33,97,0.99126,3.49,0.58,10.9,6
6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6
6.9,0.34,0.3,4.7,0.029,34,148,0.99165,3.36,0.49,12.3,7
8.4,0.57,0.44,10.7,0.051,46,195,0.9981,3.15,0.51,10.4,5
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6
7.1,0.55,0.13,1.7,0.073,21,165,0.994,2.97,0.58,9.2,6
6.3,0.32,0.35,11.1,0.039,29,198,0.9984,3.36,0.5,9.4,7
7.4,0.25,0.37,2.6,0.05,24,132,0.99138,3.04,0.53,11.2,6
4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8,5
6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6
7.3,0.43,0.37,4.6,0.028,17,114,0.991,3.23,0.43,13.2,6
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6
6.1,0.35,0.24,2.3,0.034,25,133,0.9906,3.34,0.59,12,7
5,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05,6
7.2,0.22,0.35,5.5,0.054,37,183,0.99474,3.08,0.5,10.3,5
8.8,0.39,0.35,1.8,0.096,22,80,0.99016,2.95,0.54,12.6,6
6.3,0.21,0.33,13.9,0.046,68,179,0.9971,3.36,0.5,10.4,6
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6
7,0.26,0.46,15.55,0.037,61,171,0.9986,2.94,0.35,8.8,6
7.9,0.31,0.22,13.3,0.048,46,212,0.99942,3.47,0.59,10,5
6.8,0.34,0.69,1.3,0.058,12,171,0.9931,3.06,0.47,9.7,5
6.3,0.32,0.26,12.3,0.044,24,205,0.99611,3.11,0.58,9.9,5
9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5
6.5,0.29,0.25,10.6,0.039,32,120,0.9962,3.31,0.34,10.1,6
8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,6
7.1,0.23,0.28,1.9,0.046,33,103,0.98997,3.12,0.31,12,5
6.7,0.5,0.36,11.5,0.096,18,92,0.99642,3.11,0.49,9.6,5
6.7,0.17,0.5,2.1,0.043,27,122,0.9923,3.15,0.45,10.3,6
7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11,7
7.9,0.14,0.74,1.2,0.028,30,165,0.991,3.08,0.82,12.3,6
7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12,7
6.6,0.24,0.33,10.1,0.032,8,81,0.99626,3.19,0.51,9.8,6
7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,5
6.4,0.26,0.35,7.7,0.056,45,191,0.99527,3.16,0.5,9.5,5
6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,6
9.4,0.24,0.29,8.5,0.037,124,208,0.99395,2.9,0.38,11,3
8.3,0.33,0.43,9.2,0.046,22,126,0.9982,3.38,0.47,9.3,5
5.9,0.37,0.14,6.3,0.036,34,185,0.9944,3.17,0.63,9.8,5
3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,6
6,0.2,0.32,3,0.031,26,118,0.99134,3.38,0.68,11.2,7
6.9,0.3,0.21,7.2,0.045,54,190,0.99595,3.22,0.48,9.4,5
6,0.36,0.32,1.1,0.053,26,173,0.99414,3.38,0.54,8.8,5
7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6
6.9,0.24,0.39,1.3,0.063,18,136,0.9928,3.31,0.48,10.4,7
7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,6
6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9,5
6.8,0.18,0.21,5.4,0.053,34,104,0.99445,3.3,0.43,9.4,5
7.5,0.24,0.29,1.1,0.046,34,84,0.9902,3.04,0.39,11.45,6
6.5,0.36,0.31,4.1,0.061,20,134,0.99475,3.18,0.45,9,6
8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6
8.2,0.24,0.3,2.3,0.05,23,106,0.99397,2.98,0.5,10,5
5.8,0.14,0.15,6.1,0.042,27,123,0.99362,3.06,0.6,9.9,6
6.2,0.28,0.27,10.3,0.03,26,108,0.99388,3.2,0.36,10.7,6
7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,7
7,0.2,0.38,8.1,0.05,42,173,0.99585,3.3,0.54,9.8,6
6.3,0.2,0.24,1.7,0.052,36,135,0.99374,3.8,0.66,10.8,6
6.4,0.35,0.51,7.8,0.055,53,177,0.99502,3.12,0.45,9.6,5
8.2,0.34,0.49,8,0.046,55,223,0.996,3.08,0.52,10.7,6
5.8,0.19,0.33,4.2,0.038,49,133,0.99107,3.16,0.42,11.3,7
9.9,1.005,0.46,1.4,0.046,34,185,0.9966,3.02,0.49,10.2,4
6,0.42,0.41,12.4,0.032,50,179,0.99622,3.14,0.6,9.7,5
4.8,0.13,0.32,1.2,0.042,40,98,0.9898,3.42,0.64,11.8,7
4.8,0.34,0,6.5,0.028,33,163,0.9939,3.36,0.61,9.9,6
7.3,0.34,0.3,1.3,0.057,25,173,0.9948,3.26,0.51,9.1,6
7.4,0.22,0.26,1.2,0.035,18,97,0.99245,3.12,0.41,9.7,6
5.9,0.29,0.25,12,0.057,48,224,0.9981,3.23,0.41,9,6
7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7,4
7.2,0.21,0.29,3.1,0.044,39,122,0.99143,3,0.6,11.3,6
6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6,5
6.9,0.4,0.22,5.95,0.081,76,303,0.99705,3.4,0.57,9.4,5
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5
6.3,0.19,0.28,1.8,0.022,28,158,0.9907,3.2,0.64,11.4,6
6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.49,0.5,10.2,7
6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,4
6.9,0.25,0.29,2.4,0.038,28,76,0.99088,3.01,0.36,11.7,7
6.3,0.29,0.4,6.5,0.039,43,167,0.9953,3.15,0.44,9.3,6
6.4,0.33,0.24,9.8,0.041,29,109,0.9956,3.29,0.47,10.1,6
7.7,0.27,0.49,1.8,0.041,23,86,0.9914,3.16,0.42,12.5,6
6.4,0.24,0.29,11.4,0.051,32,166,0.9968,3.31,0.45,9.5,5
7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6
5.8,0.28,0.3,1.5,0.026,31,114,0.98952,3.32,0.6,12.5,7
6.5,0.28,0.34,4.6,0.054,22,130,0.99193,3.2,0.46,12,7
5.8,0.345,0.15,10.8,0.033,26,120,0.99494,3.25,0.49,10,6
7.5,0.22,0.29,4.8,0.05,33,87,0.994,3.14,0.42,9.9,5
7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6
6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6
6.5,0.2,0.5,18.1,0.054,50,221,0.99941,2.94,0.64,8.8,6
5.8,0.315,0.19,19.4,0.031,28,106,0.99704,2.97,0.4,10.55,6
6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8,5
7.2,0.29,0.2,7.7,0.046,51,174,0.99582,3.16,0.52,9.5,5
7.8,0.21,0.39,1.8,0.034,62,180,0.991,3.09,0.75,12.6,8
7.4,0.2,1.66,2.1,0.022,34,113,0.99165,3.26,0.55,12.2,6
6.3,0.495,0.22,1.8,0.046,31,140,0.9929,3.39,0.54,10.4,6
7.6,0.32,0.35,1.6,0.092,24,138,0.99438,3.19,0.44,9.8,5
6,0.59,0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9,4
6.8,0.28,0.39,1.4,0.036,15,115,0.9918,3.27,0.72,11.7,5
7.3,0.22,0.37,15.5,0.048,70,203,0.99899,3.25,0.77,9.4,5
6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,5
8,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10,6
6.5,0.29,0.26,7,0.04,18,113,0.99366,3.17,0.38,10.2,6
5.6,0.23,0.25,8,0.043,31,101,0.99429,3.19,0.42,10.4,6
6.5,0.38,0.34,3.4,0.036,34,200,0.9937,3.14,0.76,10,5
8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,6
8.6,0.36,0.26,11.1,0.03,43.5,171,0.9948,3.03,0.49,12,5
6.6,0.21,0.5,8.7,0.036,41,191,0.99294,2.96,0.56,11,6
7.6,0.28,0.39,1.9,0.052,23,116,0.9941,3.25,0.4,10.4,6
6.8,0.27,0.32,1.5,0.044,19,142,0.9921,3.1,0.43,9.9,6
6.8,0.27,0.28,7.8,0.038,26,89,0.9915,3.24,0.34,12.5,6
7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,6
5.6,0.28,0.4,6.1,0.034,36,118,0.99144,3.21,0.43,12.1,7
7.5,0.29,0.24,9.9,0.058,25,115,0.99567,3.15,0.46,10.9,5
7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9,5
7.6,0.23,0.4,5.2,0.066,14,91,0.99488,3.17,0.8,9.7,5
7.4,0.18,0.27,1.3,0.048,26,105,0.994,3.52,0.66,10.6,6
7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,6
6.5,0.26,0.34,16.3,0.051,56,197,1.0004,3.49,0.42,9.8,5
7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6,5
7.2,0.16,0.29,1,0.031,40,123,0.98958,3.12,0.4,12.1,7
6.9,0.25,0.47,8.4,0.042,36,156,0.99604,3.15,0.55,9.4,6
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7
6.3,0.3,0.2,3.7,0.039,34,132,0.99158,3,0.38,10.7,5
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6
7.1,0.21,0.72,1.6,0.167,65,120,0.99324,2.97,0.51,9.2,5
7.9,0.2,0.49,1.6,0.053,15,144,0.993,3.16,0.47,10.5,5
7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6
6.8,0.25,0.38,8.1,0.046,24,155,0.9956,3.33,0.59,10.2,6
8.5,0.56,0.74,17.85,0.051,51,243,1.0005,2.99,0.7,9.2,5
8,0.26,0.28,8.2,0.038,72,202,0.99566,3.12,0.56,10,6
7.6,0.31,0.27,8.8,0.021,57,156,0.99442,3.08,0.38,11,7
6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5
7.7,0.28,0.58,12.1,0.046,60,177,0.9983,3.08,0.46,8.9,5
7.7,0.16,0.49,2,0.056,20,124,0.9948,3.32,0.49,10.7,6
7.3,0.23,0.37,1.8,0.032,60,156,0.992,3.11,0.35,11.1,6
7.1,0.34,0.86,1.4,0.174,36,99,0.99288,2.92,0.5,9.3,5
8.1,0.19,0.4,0.9,0.037,73,180,0.9926,3.06,0.34,10,6
6.6,0.26,0.36,1.2,0.035,43,126,0.99094,3.01,0.63,11.4,6
7.5,0.42,0.14,10.7,0.046,18,95,0.9959,3.22,0.33,10.7,5
6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7
6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,6
9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,4
6.3,0.21,0.4,1.7,0.031,48,134,0.9917,3.42,0.49,11.5,6
7.5,0.38,0.56,9.7,0.055,15,170,0.99605,3.13,0.65,9.9,6
6.4,0.2,0.15,6.6,0.046,26,113,0.99408,2.99,0.58,9.9,6
6.6,0.23,0.24,3.9,0.045,36,138,0.9922,3.15,0.64,11.3,7
7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,5
6.2,0.37,0.3,6.6,0.346,79,200,0.9954,3.29,0.58,9.6,5
6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6
5.7,0.28,0.36,1.8,0.041,38,90,0.99002,3.27,0.98,11.9,7
6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,6
7.1,0.4,0.52,1.3,0.148,45,149,0.99468,3.08,0.56,8.7,5
6.9,0.2,0.5,10,0.036,78,167,0.9964,3.15,0.55,10.2,6
6.8,0.22,0.32,5.9,0.054,40,152,0.9938,3.2,0.57,10.8,6
7.2,0.2,0.25,4.5,0.044,31,109,0.9949,3.23,0.36,9.4,5
8.6,0.17,0.28,2.7,0.047,38,150,0.99365,3.1,0.56,10.8,6
6.3,0.39,0.35,5.9,0.04,82.5,260,0.9941,3.12,0.66,10.1,5
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
6,0.41,0.05,1.5,0.063,17,120,0.9932,3.21,0.56,9.2,6
7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6
5.4,0.255,0.33,1.2,0.051,29,122,0.99048,3.37,0.66,11.3,6
7.4,0.25,0.29,6.8,0.02,31,113,0.99338,3.13,0.29,10.8,6
7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,6
8.6,0.23,0.25,11.3,0.031,13,96,0.99645,3.11,0.4,10.8,5
6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,6
5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,4
8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,5
8.2,0.34,0.29,5.2,0.076,19,92,0.99138,2.95,0.39,12.5,6
6.2,0.25,0.31,3.2,0.03,32,150,0.99014,3.18,0.31,12,6
6.5,0.27,0.19,6.6,0.045,98,175,0.99364,3.16,0.34,10.1,6
6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4,5
7,0.27,0.74,1.3,0.173,34,121,0.99334,3.04,0.46,9.2,6
